Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Sony Computer Entertainment America,1.04,0.0,0.0,0.13,1.1800000000000002
Aruze Corp,0.0,0.0,1.09,0.08,1.1800000000000002
BMG Interactive Entertainment,0.67,0.44,0.0,0.07,1.18
Jester Interactive,0.7,0.29000000000000004,0.0,0.14,1.15
Trion Worlds,0.72,0.3,0.0,0.11,1.15
Gust,0.15000000000000002,0.05,0.84,0.05,1.1
Gremlin Interactive Ltd,0.66,0.37,0.0,0.05,1.1
O-Games,0.44,0.54,0.0,0.12,1.08
Acquire,0.14,0.0,0.91,0.030000000000000002,1.07
Mentor Interactive,0.99,0.0,0.0,0.07,1.07
Epoch,0.0,0.0,0.99,0.06,1.05
Telegames,0.91,0.06,0.0,0.06,1.03
Big Ben Interactive,0.78,0.13,0.0,0.07,1.0
SNK Playmore,0.23,0.14,0.56,0.03,0.9600000000000001
UFO Interactive,0.92,0.0,0.0,0.04,0.9600000000000001
IE Institute,0.0,0.0,0.9600000000000001,0.0,0.9600000000000001
Broccoli,0.0,0.0,0.96,0.0,0.96
DreamCatcher Interactive,0.75,0.14,0.0,0.07,0.9500000000000001
Nippon Columbia,0.0,0.0,0.9500000000000001,0.0,0.9500000000000001
Sunsoft,0.5,0.25,0.17,0.04,0.9500000000000001
Jorudan,0.0,0.0,0.9299999999999999,0.02,0.95
Screenlife,0.22,0.01,0.66,0.03,0.9199999999999999
Funbox Media,0.71,0.13,0.0,0.06,0.91
CTO SpA,0.5,0.34,0.0,0.06,0.9
Xseed Games,0.41,0.04,0.37,0.06999999999999999,0.9
Victor Interactive,0.11,0.08,0.68,0.02,0.89
"Destination Software, Inc",0.75,0.08,0.0,0.03,0.88
Quelle,0.81,0.05,0.0,0.01,0.87
TalonSoft,0.49,0.33,0.0,0.06,0.87
"mixi, Inc",0.0,0.0,0.86,0.0,0.86
Mud Duck Productions,0.52,0.25,0.0,0.060000000000000005,0.85
Ackkstudios,0.13,0.04,0.66,0.01,0.8400000000000001
Conspiracy Entertainment,0.63,0.14,0.0,0.04,0.8400000000000001
Bigben Interactive,0.1,0.62,0.0,0.13,0.84
NovaLogic,0.48,0.24000000000000002,0.0,0.06999999999999999,0.8200000000000001
Mystique,0.76,0.05,0.0,0.01,0.82
Harmonix Music Systems,0.6,0.09,0.0,0.11000000000000001,0.8
Square EA,0.45,0.3,0.0,0.05,0.8
NEC Interchannel,0.0,0.0,0.78,0.0,0.78
Men-A-Vision,0.72,0.04,0.0,0.01,0.77
Nihon Falcom Corporation,0.15,0.01,0.58,0.04,0.77
Paradox Interactive,0.05,0.5700000000000001,0.0,0.08,0.76
Pioneer LDC,0.23,0.16,0.32,0.04,0.74
ArtDink,0.06999999999999999,0.05,0.59,0.04,0.73
Gamebridge,0.3,0.13,0.24,0.06,0.73
Starfish,0.39,0.19,0.1,0.03,0.72
Home Entertainment Suppliers,0.09,0.49,0.0,0.12,0.7100000000000001
Data Age,0.6599999999999999,0.04,0.0,0.0,0.71
Quest,0.0,0.0,0.71,0.0,0.71
Illusion Softworks,0.34,0.27,0.0,0.09,0.7
Sting,0.4,0.07,0.15,0.03,0.65
Media Rings,0.14,0.05,0.45999999999999996,0.0,0.65
Wanadoo,0.30000000000000004,0.21,0.06,0.07,0.65
Astragon,0.24,0.32,0.0,0.06,0.64
Elf,0.0,0.0,0.64,0.0,0.64
Foreign Media Games,0.27,0.3,0.0,0.05,0.63
Universal Gamex,0.58,0.04,0.0,0.01,0.63
Seta Corporation,0.0,0.0,0.59,0.04,0.63
Wizard Video Games,0.58,0.03,0.0,0.01,0.62
TDK Core,0.24000000000000002,0.12000000000000001,0.25,0.01,0.62
Aspyr,0.55,0.04,0.0,0.05,0.62
Idea Factory International,0.23,0.08,0.2,0.09,0.61
Prototype,0.0,0.0,0.61,0.0,0.61
Nordcurrent,0.39,0.14,0.0,0.05,0.5900000000000001
Asylum Entertainment,0.09,0.43000000000000005,0.0,0.06,0.59
ESP,0.03,0.02,0.54,0.0,0.59
Mumbo Jumbo,0.53,0.0,0.0,0.04,0.5800000000000001
Kadokawa Games,0.0,0.0,0.58,0.0,0.58
CPG Products,0.5,0.03,0.0,0.01,0.54
AQ Interactive,0.34,0.060000000000000005,0.11,0.05,0.53
BPS,0.0,0.0,0.52,0.0,0.52
The Adventure Company,0.34,0.13,0.0,0.05,0.51
Hect,0.0,0.0,0.5,0.0,0.5
Answer Software,0.46,0.03,0.0,0.01,0.5
Rebellion,0.35000000000000003,0.13,0.0,0.01,0.49
Popcorn Arcade,0.45,0.0,0.0,0.01,0.49
Avalon Interactive,0.33999999999999997,0.12,0.0,0.03,0.48000000000000004
Swing! Entertainment,0.28,0.16,0.0,0.04,0.48000000000000004
Activision Blizzard,0.08,0.36,0.0,0.04,0.48
Pack In Soft,0.25,0.06,0.11,0.06,0.48
Ultravision,0.44,0.03,0.0,0.0,0.47
Irem Software Engineering,0.12,0.01,0.31,0.01,0.46
Valcon Games,0.31,0.08,0.0,0.03,0.45
PlayV,0.1,0.3,0.0,0.05,0.44
Shogakukan,0.0,0.0,0.44,0.0,0.44
Aksys Games,0.19,0.01,0.18,0.05,0.44
Angel Studios,0.0,0.0,0.43999999999999995,0.0,0.43999999999999995
NEC,0.0,0.0,0.43000000000000005,0.0,0.43000000000000005
Tetris Online,0.2,0.13,0.06,0.03,0.43
Electronic Arts Victor,0.22999999999999998,0.16999999999999998,0.0,0.03,0.42
Jack of All Games,0.31,0.1,0.0,0.01,0.42
TYO,0.23,0.16,0.0,0.03,0.42
bitComposer Games,0.16,0.2,0.0,0.08,0.41000000000000003
Magical Company,0.15,0.1,0.12,0.03,0.41
NCS,0.0,0.0,0.4,0.0,0.4
P2 Games,0.02,0.33,0.0,0.04,0.4
MTO,0.0,0.0,0.39,0.01,0.4
Microids,0.23,0.14,0.0,0.01,0.4
ValuSoft,0.26,0.09,0.0,0.04,0.39
Graffiti,0.36,0.0,0.0,0.01,0.38
989 Sports,0.21,0.14,0.0,0.02,0.38
Blast! Entertainment Ltd,0.23,0.11,0.0,0.03,0.38
Hip Interactive,0.26,0.09,0.0,0.0,0.36000000000000004
New,0.0,0.0,0.33,0.02,0.36
Performance Designed Products,0.33999999999999997,0.0,0.0,0.02,0.36
DSI Games,0.29,0.04,0.0,0.01,0.35000000000000003
Magix,0.16999999999999998,0.13,0.0,0.04,0.35
Time Warner Interactive,0.18,0.12,0.0,0.03,0.35
ITT Family Games,0.32,0.02,0.0,0.0,0.34
Reef Entertainment,0.17,0.13,0.0,0.03,0.33999999999999997
U.S. Gold,0.19,0.13,0.0,0.02,0.33
Benesse,0.01,0.0,0.32,0.0,0.33
Starpath Corp.,0.3,0.02,0.0,0.0,0.33
Cave,0.14,0.0,0.18,0.01,0.33
Indie Games,0.09,0.07,0.14,0.02,0.32
Evolved Games,0.26,0.04,0.0,0.03,0.32
Yacht Club Games,0.16,0.11,0.01,0.03,0.32
CBS Electronics,0.29,0.02,0.0,0.0,0.31
CokeM Interactive,0.29,0.0,0.0,0.02,0.31
Neko Entertainment,0.2,0.08,0.0,0.02,0.31
Hackberry,0.0,0.0,0.31,0.0,0.31
Agatsuma Entertainment,0.22,0.02,0.06,0.01,0.31
Hamster Corporation,0.16,0.11,0.02,0.02,0.30000000000000004
Game Life,0.13,0.13,0.0,0.03,0.30000000000000004
Rebellion Developments,0.08,0.16999999999999998,0.0,0.04,0.30000000000000004
Mad Catz,0.24,0.05,0.0,0.02,0.30000000000000004
Data Design Interactive,0.25,0.01,0.0,0.02,0.29000000000000004
Media Factory,0.0,0.0,0.29000000000000004,0.0,0.29000000000000004
Core Design Ltd.,0.16,0.11000000000000001,0.0,0.02,0.29000000000000004
Wargaming.net,0.0,0.23,0.0,0.06,0.29
Excalibur Publishing,0.0,0.24,0.0,0.04,0.28
Playmates,0.16,0.11,0.0,0.02,0.28
Nichibutsu,0.0,0.0,0.28,0.0,0.28
Daedalic,0.0,0.24,0.0,0.06,0.27999999999999997
Tru Blu Entertainment,0.01,0.25,0.0,0.02,0.27999999999999997
Culture Brain,0.0,0.0,0.27,0.0,0.27
Syscom,0.06,0.04,0.15,0.02,0.27
CyberFront,0.01,0.0,0.26,0.0,0.27
Liquid Games,0.19,0.07,0.0,0.0,0.27
ASCII Media Works,0.0,0.0,0.27,0.0,0.27
Telstar,0.16,0.1,0.0,0.02,0.27
Vic Tokai,0.19,0.08,0.0,0.01,0.27
Nippon Telenet,0.0,0.0,0.26,0.0,0.26
Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26
Vir2L Studios,0.22,0.01,0.0,0.01,0.26
Asgard,0.0,0.0,0.25,0.0,0.25
Paon,0.0,0.0,0.25,0.0,0.25
Axela,0.0,0.0,0.24,0.02,0.25
Xing Entertainment,0.04,0.03,0.16,0.02,0.24
Yeti,0.0,0.0,0.24,0.0,0.24
Essential Games,0.01,0.0,0.22,0.0,0.23
American Softworks,0.13,0.09,0.0,0.02,0.23
Detn8 Games,0.21,0.0,0.0,0.02,0.23
Asmik Ace Entertainment,0.0,0.0,0.22,0.01,0.23
Daito,0.0,0.0,0.22999999999999998,0.0,0.22999999999999998
O3 Entertainment,0.19,0.02,0.0,0.01,0.22
Quinrose,0.0,0.0,0.22,0.0,0.22
System 3,0.08,0.1,0.0,0.03,0.22
Bomb,0.21,0.01,0.0,0.0,0.22
Vatical Entertainment,0.14,0.06999999999999999,0.0,0.01,0.22
CCP,0.0,0.19,0.0,0.02,0.22
Tommo,0.2,0.0,0.0,0.0,0.21000000000000002
Slitherine Software,0.08,0.1,0.0,0.03,0.21000000000000002
On Demand,0.12,0.08,0.0,0.01,0.21
Sears,0.2,0.01,0.0,0.0,0.21
Mercury Games,0.17,0.0,0.02,0.02,0.21
CDV Software Entertainment,0.11,0.06,0.0,0.01,0.2
Merscom LLC,0.0,0.17,0.0,0.03,0.2
Funsta,0.13,0.05,0.0,0.01,0.2
Funcom,0.07,0.1,0.0,0.02,0.2
Micro Cabin,0.0,0.0,0.2,0.0,0.2
Alternative Software,0.0,0.18,0.0,0.03,0.2
